target,threshold,precision,recall,f1,roc_auc,pr_auc
fainting_risk,0.5,0.42857142857142855,0.013100436681222707,0.025423728813559324,0.9530254367150948,0.3399253258632343
fainting_risk,0.55,0.5454545454545454,0.013100436681222707,0.0255863539445629,0.9530254367150948,0.3399253258632343
fainting_risk,0.6,0.6666666666666666,0.008733624454148471,0.017241379310344827,0.9530254367150948,0.3399253258632343
fainting_risk,0.65,0.0,0.0,0.0,0.9530254367150948,0.3399253258632343
fainting_risk,0.7,0.0,0.0,0.0,0.9530254367150948,0.3399253258632343
fainting_risk,0.75,0.0,0.0,0.0,0.9530254367150948,0.3399253258632343
fainting_risk,0.8,0.0,0.0,0.0,0.9530254367150948,0.3399253258632343
fainting_risk,0.85,0.0,0.0,0.0,0.9530254367150948,0.3399253258632343
fainting_risk,0.9,0.0,0.0,0.0,0.9530254367150948,0.3399253258632343
need_to_hydrate,0.1,0.5163475699558174,0.9529763522696385,0.669786990161429,0.914890464366823,0.810479522664975
need_to_hydrate,0.15,0.5631376484361933,0.9151943462897526,0.6972458065852143,0.914890464366823,0.810479522664975
need_to_hydrate,0.2,0.599815668202765,0.8844794781190541,0.7148506151142355,0.914890464366823,0.810479522664975
need_to_hydrate,0.25,0.626847782660807,0.8529491709703724,0.7226252158894646,0.914890464366823,0.810479522664975
need_to_hydrate,0.3,0.6523983652398365,0.8244088067409622,0.728386167146974,0.914890464366823,0.810479522664975
need_to_hydrate,0.35,0.6730945821854912,0.7969556944821963,0.7298070939639079,0.914890464366823,0.810479522664975
need_to_hydrate,0.4,0.6946979038224415,0.7656972003261756,0.7284716834755625,0.914890464366823,0.810479522664975
need_to_hydrate,0.45,0.7205450173657494,0.7330796412068497,0.7267582861762328,0.914890464366823,0.810479522664975
need_to_hydrate,0.5,0.7407834101382489,0.6991030171242185,0.7193399524542022,0.914890464366823,0.810479522664975
need_to_hydrate,0.55,0.7651515151515151,0.6588746942103832,0.708047319994158,0.914890464366823,0.810479522664975
need_to_hydrate,0.6,0.7892345333799371,0.6137537374286491,0.690519877675841,0.914890464366823,0.810479522664975
need_to_hydrate,0.65,0.8124753257007501,0.5593911388964392,0.6625885383129427,0.914890464366823,0.810479522664975
need_to_hydrate,0.7,0.8390151515151515,0.4816526229953792,0.6119841132792264,0.914890464366823,0.810479522664975
need_to_hydrate,0.75,0.883054892601432,0.4022832291383528,0.5527544351073763,0.914890464366823,0.810479522664975
need_to_hydrate,0.8,0.918785890073831,0.3044305517803751,0.4573295222539812,0.914890464366823,0.810479522664975
need_to_hydrate,0.85,0.9787535410764873,0.187822777928785,0.3151653363740023,0.914890464366823,0.810479522664975
need_to_hydrate,0.9,0.0,0.0,0.0,0.914890464366823,0.810479522664975
need_to_rest,0.1,0.500845665961945,0.9825798423890502,0.6634925080520936,0.8760197335655917,0.7813230175905624
need_to_rest,0.15,0.5289764317431401,0.9635006221484861,0.682984196986402,0.8760197335655917,0.7813230175905624
need_to_rest,0.2,0.5576805197989457,0.9433844877644131,0.7009785037368056,0.8760197335655917,0.7813230175905624
need_to_rest,0.25,0.5884389984017049,0.9162173372044795,0.7166261151662612,0.8760197335655917,0.7813230175905624
need_to_rest,0.3,0.6176004608958663,0.8892575694732476,0.7289417764555887,0.8760197335655917,0.7813230175905624
need_to_rest,0.35,0.6484829429335011,0.8554541683948569,0.7377269069122776,0.8760197335655917,0.7813230175905624
need_to_rest,0.4,0.6743986254295533,0.8139776026545003,0.7376433001315542,0.8760197335655917,0.7813230175905624
need_to_rest,0.45,0.6993033327057051,0.7702198257984239,0.7330504292904372,0.8760197335655917,0.7813230175905624
need_to_rest,0.5,0.7193161001424792,0.7328909166321028,0.7260400616332819,0.8760197335655917,0.7813230175905624
need_to_rest,0.55,0.737219730941704,0.6818747407714641,0.7084680025856497,0.8760197335655917,0.7813230175905624
need_to_rest,0.6,0.7599896211728074,0.6074243052675239,0.6751959428307976,0.8760197335655917,0.7813230175905624
need_to_rest,0.65,0.7943895441504623,0.5167980091248444,0.6262093227792436,0.8760197335655917,0.7813230175905624
need_to_rest,0.7,0.8221597751906865,0.42472003318125257,0.560098454806509,0.8760197335655917,0.7813230175905624
need_to_rest,0.75,0.8471192241871078,0.3079635006221485,0.45171102661596957,0.8760197335655917,0.7813230175905624
need_to_rest,0.8,0.8833333333333333,0.19784321858150145,0.3232802439850898,0.8760197335655917,0.7813230175905624
need_to_rest,0.85,0.92018779342723,0.1219411032766487,0.21534517487639626,0.8760197335655917,0.7813230175905624
need_to_rest,0.9,0.9566473988439307,0.06864371630029034,0.12809597523219815,0.8760197335655917,0.7813230175905624
