repeat,seed,target,full_roc_auc,same_day_roc_auc,roc_auc_improvement,full_pr_auc,same_day_pr_auc,pr_auc_improvement,full_brier_score,same_day_brier_score,brier_difference,full_feature_count,same_day_feature_count
3,44,dizziness_risk,0.7408790983119301,0.5739605551925235,0.16691854311940657,0.5018848458880467,0.3432326162360394,0.15865222965200731,0.17490731835205994,0.2047373108614232,-0.029829992509363246,32,6
3,44,fatigue_risk,0.7322917548921023,0.5413343331178913,0.19095742177421104,0.5727735149262043,0.38859566623567643,0.1841778486905279,0.1944344935497295,0.23304130337078652,-0.03860680982105702,32,6
3,44,fainting_risk,0.9364017519490702,0.7879859555444768,0.14841579640459335,0.28645847803015456,0.08275732319163498,0.20370115483851958,0.02247817644610903,0.02680662089055347,-0.00432844444444444,32,6
3,44,need_to_hydrate,0.8878181746762137,0.7877240423487601,0.10009413232745357,0.7532460933965921,0.586380739083417,0.16686535431317506,0.12243747399084477,0.1620966708281315,-0.039659196837286734,32,6
3,44,need_to_rest,0.8558337921861352,0.6453244562196343,0.2105093359665009,0.7509866671387554,0.4995858844074963,0.2514007827312591,0.14885538327091136,0.2195278626716604,-0.07067247940074906,32,6
4,45,flare_risk,0.9266187891339474,0.6788020787257257,0.24781671040822162,0.7991254824728691,0.38325873448428693,0.41586674798858214,0.09443175280898876,0.17557771452351228,-0.08114596171452353,32,6
4,45,dizziness_risk,0.7210472009082173,0.5760878192328951,0.14495938167532219,0.530392116153048,0.3959482521272902,0.13444386402575786,0.19609534498543485,0.2256311826883063,-0.029535837702871437,32,6
4,45,fatigue_risk,0.7128757085318725,0.5560645799597044,0.15681112857216817,0.5880010435957266,0.4483825807564391,0.13961846283928747,0.20960926924677484,0.24431080149812734,-0.0347015322513525,32,6
4,45,fainting_risk,0.9073694885879303,0.7524603741540976,0.1549091144338327,0.27840162370375543,0.09940865535803907,0.17899296834571637,0.03455313025384935,0.04056614148980441,-0.00601301123595506,32,6
4,45,need_to_hydrate,0.8916001680653579,0.801319766917564,0.0902804011477939,0.8330776338761647,0.6901411212876096,0.1429365125885551,0.13164390262172285,0.17971444527673744,-0.04807054265501459,32,6
4,45,need_to_rest,0.8458834524653103,0.657654579283062,0.18822887318224824,0.7812656455399941,0.5836426793223513,0.19762296621764286,0.15953403828547646,0.23204210570120684,-0.07250806741573038,32,6
5,46,flare_risk,0.9182728489704756,0.5896082187303655,0.32866463024011006,0.6623667492305727,0.17979547642142008,0.48257127280915263,0.0752059117769455,0.1357492858926342,-0.06054337411568872,32,6
5,46,dizziness_risk,0.7019894103047629,0.543175599524173,0.15881381078058987,0.4273057137916142,0.2988769795476559,0.1284287342439583,0.17885387265917604,0.205865722014149,-0.027011849354972944,32,6
5,46,fatigue_risk,0.693814988170172,0.5175485884674352,0.17626639970273672,0.4863269411359893,0.3420744412208954,0.14425249991509387,0.19937235788597585,0.23215917186849772,-0.03278681398252187,32,6
5,46,fainting_risk,0.940425184712722,0.7469134123610899,0.19351177235163208,0.18995689388944437,0.031185406947739344,0.158771486941705,0.011537080316271328,0.014576676654182273,-0.0030395963379109443,32,6
5,46,need_to_hydrate,0.8594116540540199,0.7535062750664608,0.10590537898755903,0.6722132116095146,0.48252061782196276,0.18969259378755188,0.13312324344569287,0.17357437037037038,-0.040451126924677505,32,6
5,46,need_to_rest,0.8325814063549164,0.6160728092315079,0.21650859712340853,0.68087400661188,0.43373955089174243,0.2471344557201376,0.15705573200166456,0.22446399084477736,-0.0674082588431128,32,6
